DISTRICT,YEAR,EN,SEATS,PROP,CAT
EAST MELBOURNE,1859,3284,2,1642,U
BELFAST,1859,487,1,244,U
WEST MELBOURNE,1859,2793,2,1397,U
COLLINGWOOD,1859,6371,3,3186,U
RICHMOND,1859,3248,2,1624,U
EMERALD HILL,1859,1979,1,990,C
NORTH MELBOURNE,1859,4601,2,2301,U
WILLIAMSTOWN,1859,1287,1,644,U
PORTLAND,1859,698,1,349,C
SANDRIDGE,1859,1338,1,669,M
WARRNAMBOOL,1859,661,1,331,U
GEELONG WEST,1859,2905,2,1453,U
ST KILDA,1859,4405,2,2203,U
EAST BOURKE BOROUGHS,1859,1635,1,818,U
SANDHURST,1859,4892,2,2446,U
BRIGHTON,1859,1067,1,534,C
MURRAY BOROUGHS,1859,930,1,465,C
GEELONG EAST,1859,3053,2,1527,M
KILMORE,1859,998,1,499,C
KYNETON BOROUGHS,1859,1668,1,834,C
EAST BALLAARAT,1859,4436,2,2218,C
WEST BALLAARAT,1859,6401,2,3201,C
SOUTH BOURKE,1859,3480,2,1740,C
CASTLEMAINE,1859,7230,3,3615,C
MALDON,1859,2081,1,1041,C
MARYBOROUGH,1859,2184,2,1092,C
ARARAT,1859,1370,2,685,C
EAST BOURKE,1859,3480,2,1740,C
GRENVILLE,1859,5910,2,2955,C
CRESWICK,1859,10586,2,5293,C
WEST BOURKE,1859,6241,3,3121,C
EVELYN,1859,1315,1,658,C
OVENS,1859,5806,2,2903,C
SOUTH GRANT,1859,6445,3,3223,C
POLWARTH AND SOUTH GRENVILLE,1859,955,1,478,C
MORNINGTON,1859,1357,1,679,C
NORMANBY,1859,1285,1,643,C
RODNEY,1859,2555,1,1278,C
AVOCA,1859,8093,2,4047,C
VILLIERS AND HEYTESBURY,1859,3154,2,1577,C
SOUTH GIPPSLAND,1859,781,1,391,C
DALHOUSIE,1859,2635,1,1318,C
DUNDAS AND FOLLETT,1859,1172,1,586,C
RIPON AND HAMPDEN,1859,3338,1,1669,C
MANDURANG,1859,7364,2,3682,C
SWAN HILL,1859,15996,2,7998,C
MURRAY,1859,3294,1,1647,C
NORTH GIPPSLAND,1859,1213,1,607,C
WIMMERA,1859,1052,1,526,C
