Year,Agri,Mining,Manufacturing,"Electricity, gas and water",Construction,Retail,Transport,Finance and Property,Public Admin,Recreation,Ownership dwellings,Gneral Govt,GDP (Current),GDP constant ,Population,GDP pc (current) ,GDP pc (Constant)
1949,195.5,4.4,307.1,16,76.6,180.8,85,48.8,105.4,49.6,56,9.9,1135.1,389.1,2168884,523.4,179.4
1950,275.7,4.6,368.4,20.4,102.5,226.8,107.8,53.2,131.4,51.2,56,11.9,1410,445.3,2237182,630.3,199
1951,457.9,5.8,463.2,25.6,161.5,289.4,111.8,68.2,175,62.2,60.8,14.5,1895.9,471.1,2299538,824.5,204.9
1952,365.3,8.4,561.8,38.4,200.4,338.4,137,89.4,222.2,71.8,62.6,18.4,2114.1,509.4,2366719,893.3,215.2
1953,391,13.4,601.6,46.8,190.3,352.6,154.2,105.4,264.2,75.8,74.1,21.9,2291.3,486.1,2416035,948.4,201.2
1954,376.6,14.6,686.3,49.2,215.9,387.4,169.6,116.8,284.4,86.2,87.3,23.5,2497.8,514.5,2477986,1008,207.6
1955,388.9,16.4,759.7,66.8,238.8,433.8,188,125.4,303.6,93.8,102.4,25.9,2743.5,565.2,2546332,1077.4,222
1956,399.2,17.8,826.4,79,263.8,479.4,196.8,142.4,334.2,101.8,115.6,30.2,2986.7,600.9,2618112,1140.8,229.5
1957,420.8,19,887.2,92,254.9,499.8,206.4,159.8,352.6,104.6,127.1,33.2,3157.4,592.1,2680555,1177.9,220.9
1958,368.4,19.8,955.4,91.6,284.1,519.2,218.2,183.8,366.6,107.6,140.3,33.1,3288.1,610.8,2745165,1197.8,222.5
1959,408.5,21.8,1023,120.2,303.5,550.4,241.2,199.2,397.6,113.6,151.2,40.1,3570.2,678.2,2811429,1269.9,241.2
1960,427,24.2,1162.9,121.4,334.3,615.2,269.6,237.8,428.8,123.4,163.2,45.3,3953.1,713.9,2888290,1368.7,247.2
1961,469,26.4,1191.1,117.6,351,650.4,294.2,258.8,473,130.2,183.1,53.8,4198.6,741.2,2955299,1420.7,250.8
1962,405,33,1210.1,121.6,351,645.2,299.6,276.8,473.8,133,221.7,55.9,4226.7,732.1,3011043,1403.7,243.1
1963,450,32.4,1345.5,140.8,361.6,704.8,309.8,294.4,480.2,139.8,250.6,61.2,4571.1,786.8,3071046,1488.4,256.2
1964,540,33.8,1469.8,166.2,403.3,838.4,339.8,319,514.4,149.8,281.3,67.5,5123.3,847,3137921,1632.7,269.9
1965,562,37.2,1637.8,196.8,447.2,859.8,509.2,350.8,574,154,295.1,73.3,5697.3,916.8,3195860,1782.7,286.9
1966,504,39.9,1703.5,212.4,487.2,911,411.9,403.4,627.3,163.6,308.4,81.7,5854.2,903,3249843,1801.4,277.9
1967,554,43.4,1878.6,227.1,527.4,981.9,438.9,437.6,668.7,175.5,336.1,87.6,6356.7,951.3,3303606,1924.2,287.9
1968,414,47.4,2011.8,250.5,573.3,1081.8,470.6,490.4,725.3,187.2,372.8,98.5,6723.5,944.9,3356827,2002.9,281.5
1969,535,51.6,2135.3,283.3,632.1,1163.8,501.9,558.2,796.1,221.3,412,109.9,7400.4,1036,3421178,2163.1,302.8
1970,558,82.5,2351.2,300.7,694.7,1296.4,625.3,643.1,876.5,307.4,458.4,124.2,8318.3,1104.3,3482031,2388.9,317.2
1971,517,194.4,2573.3,305.2,708.5,1420.2,681.9,748.3,1014.6,338.7,542.1,143.5,9187.7,1148.4,3633843,2528.4,316
1972,606,252.9,2795.5,344.9,751.9,1572.4,781.8,801.8,1166.5,376.7,627,171.2,10248.7,1209.2,3686136,2780.3,328
1973,705,282.5,2719.9,382,870.4,1773.6,944.5,845.7,1486.8,432.4,722.8,206,11371.6,1183,3730824,3048,317.1
1974,845,347.4,3818.6,425,1014.2,2142,973.6,975.5,1906.9,412.6,847.5,251.1,13959.4,1272.1,3779587,3693.4,336.6
1975,658,418,4310,474.5,1211.1,2466.2,1176.4,1112.9,2402.7,485.1,1039,325.3,16079.2,1229.6,3800656,4230.6,323.5
1976,611,504.6,4842.6,561,1441.2,2854.6,1347.6,1303.6,2835.3,618.2,1290.8,414.8,18625.3,1230.1,3823941,4870.7,321.7
1977,701,541.6,5568.4,641,1691.4,3189.8,1615.1,1471.2,3254.5,693.8,1575.1,486.7,21429.5,1278.4,3852589,5562.4,331.8
