Year,Pastoral,Agric,Mine,Dairy,Manu,Const,Priv Water,Public ent,Govt.,Finance,Distribution,House Rents,Other,GDP,Population
1861,2707.2,3101.1,8896.3,1068.6,900,2362.5,404.8,160,1380.4,800,5182.3,4663.6,3420.7,36908.6,541800
1862,1878.3,2422.2,8140.7,1334.8,900,2221.3,431.4,237.8,1357.1,800,4322.8,4222.8,3449.9,33581.1,554358
1863,1834.9,2449.6,6923.5,1352.8,828,3238.9,394.5,459.4,1287.2,866.7,3448.4,4065.2,3315.1,32327.1,571559
1864,1712.1,2431,7185.9,1299.7,864,2748.8,356.5,502.3,1315.4,866.7,3699.2,4084.7,3123.6,32053.6,601343
1865,2320.4,2292.2,6505.9,1518,1044,1898.1,435.2,569.2,1282.9,900,3727.5,4123.8,3184.1,31666.3,621095
1866,2710.6,2647.3,6461.7,1665.1,1440,1536.8,395.2,580,1278.8,933.3,4504,4608.2,3168.1,33795.2,636982
1867,2145.2,3217.2,6210.3,1642.6,1764,2105,498.4,509.9,1229.9,1000,4016.9,4287.3,3204.3,33697.9,651571
1868,2313.8,3317.7,6024.7,1763,1980,3984.9,355.2,558.4,1258.8,1066.7,3400.6,4092.1,3342.9,35326.6,674614
1869,2473.2,3426.8,6777.8,1669.9,2232,2482.8,404.4,614.2,1280.4,1033.3,4541.9,3771.7,3573.9,36151.2,699790
1870,2876,4457.7,6199.8,1732.2,2484,2964.4,482.6,560.4,1360.6,1133.3,5001.4,4747.8,3743.2,39613.4,726599
1871,2418.5,2826.2,5246.1,1486.3,2412,2715.8,419.5,550,1239.4,1100,2949.8,5096.4,3821.2,34152.2,747412
1872,3567.6,3197.4,5513.2,1743.5,2988,3841.6,430.2,610,1118.2,1300,4861.7,5711.2,3968.1,40722.7,758984
1873,3317.9,4524.2,5371.3,2148.8,3420,4606.7,499.1,617.8,1246.1,1533.3,5822.2,6085.6,4090.1,45156.3,772039
1874,3103.7,3779.1,4740.7,2367.4,3924,4399.9,508.2,782.4,1609.1,1733.3,5327.1,4869.9,4220.1,43238.9,783274
1875,4817.4,3629.5,4475.9,2492.4,4212,5007.3,493,926.3,1576.1,1566.7,6257.5,5199.1,4004.1,46532.1,791399
1876,4524.9,4002.2,3949.1,2621.5,4356,4484.6,468,918.3,1619.6,1566.7,6033.8,5409.3,4010.9,45840.8,801717
1877,5235.7,4612.2,3322.3,2706.2,4536,4576.1,494,1025.4,1646.6,1566.7,6142.5,5597.9,4001.2,47339.8,815494
1878,3730,4769.6,3211.9,2553.6,4644,3505.6,487.1,1103.3,1627.2,1766.7,5649.7,5185.5,4162.4,44274.6,827439
1879,3852.8,3957,3136.5,2491.3,4644,4854.5,461.3,1280.9,1612.5,1633.3,5910.3,7036.3,4098.4,46848.2,840620
1880,4217.7,3930.5,3397.7,2520,5256,3955.9,477.8,1391.5,1753.2,1533.3,5158.2,7997.9,4127.3,47597.1,860067
1881,3792.1,4402.5,3533.7,2871.5,5904,4117.4,517.4,1508.8,1632.4,1566.7,5674.6,8387.4,4342.1,50131.7,879886
1882,3993.8,4749.8,3681.2,2890.8,6336,5294.8,644.6,1751.6,1654.5,1900,6432.2,8773.9,4627.2,54612.4,899562
1883,4433.9,5204.1,3357.3,3033,6624,5535.3,593,1832.5,1816,2300,6408.9,9239.2,4922.9,57183.2,920694
1884,5114,6054.5,3228.7,3059.6,7128,5413.9,664.6,1824.4,1896.5,2266.7,7650.2,9830.8,5373.4,61389.3,944564
1885,4494.4,5354.4,3091.2,3190,7092,7155.8,557.8,2124.5,1951.7,2366.7,7147.9,10454.6,5728.4,62594.3,969202
1886,3719.4,5810.1,2839.1,3182.2,6444,8054.8,346.8,2418.6,2143.9,2333.3,8293.2,11310.7,6061.5,64843.8,1000510
1887,3889.7,5953.8,2661.6,3250.3,6912,8617.3,349.9,2435.9,2171.4,2366.7,8882.5,12170.8,6064.4,67613.2,1032993
1888,4083.8,5754.8,2711,3473.5,7596,10392.1,830.6,2653,2316.8,2533.3,9178,13078,6402.1,72891.1,1076966
1889,3965.5,5229.9,2687.1,3550.8,8028,10760.6,786.2,3134.3,2546,2900,9732.1,11479,6971.8,73660.3,1103727
1890,4117.5,6372.2,2682.4,3485.3,7956,8994.5,727,3169.7,2737.7,3133.3,9445.9,11899.3,7355.3,73966.2,1133266
1891,4003.1,6381.4,2503.3,3552.4,7524,7138.4,823.7,3197.9,2830.4,2233.3,7683.5,8841.5,7292.8,65896.8,1157678
1892,4558.9,6238.2,2726.4,3274.1,6012,4482.4,546.5,3176.9,2975.8,1633.3,7057.8,8784.7,7114.2,60473.2,1167373
1893,3905.2,5898.2,2785.2,3413.5,5472,3247.1,336.4,2965.7,3341.7,1066.7,6227.8,7738.5,6932.4,55223.2,1174006
1894,3246.1,4229.2,2827.5,3079.3,5004,2913.5,332.2,2870.7,2453.4,1066.7,4645,7610.2,7059.7,49231.6,1179103
