DISTRICT,Category,YEAR
Abbotsford,URBAN,1926
Albert Park,URBAN,1926
Allandale,RURAL,1926
Ballarat East,METRO,1926
Ballarat West,METRO,1926
Barwon,RURAL,1926
Benalla,RURAL,1926
Benambra,RURAL,1926
Bendigo East,METRO,1926
Bendigo West,METRO,1926
Boroondara,URBAN,1926
Borung,RURAL,1926
Brighton,URBAN,1926
Brunswick,URBAN,1926
Bulla,RURAL,1926
Carlton,URBAN,1926
Castlemaine and Maldon,RURAL,1926
Collingwood,URBAN,1926
Dalhousie,RURAL,1926
Dandenong,RURAL,1926
Daylesford,RURAL,1926
Dundas,RURAL,1926
Eaglehawk,RURAL,1926
East Melbourne,URBAN,1926
Essendon,URBAN,1926
Evelyn,RURAL,1926
Fitzroy,URBAN,1926
Flemington,URBAN,1926
Geelong,METRO,1926
Gippsland East,RURAL,1926
Gippsland North,RURAL,1926
Gippsland South,RURAL,1926
Gippsland West,RURAL,1926
Glenelg,RURAL,1926
Goulburn Valley,RURAL,1926
Grenville,RURAL,1926
Gunbower,RURAL,1926
Hampden,RURAL,1926
Hawthorn,URBAN,1926
Jika Jika,URBAN,1926
Kara Kara,RURAL,1926
Korong,RURAL,1926
Lowan,RURAL,1926
Maryborough,RURAL,1926
Melbourne,URBAN,1926
Mornington,RURAL,1926
North Melbourne,URBAN,1926
Ovens,RURAL,1926
Polwarth,RURAL,1926
Port Fairy,RURAL,1926
Port Melbourne,URBAN,1926
Prahran,URBAN,1926
Richmond,URBAN,1926
Rodney,RURAL,1926
St Kilda,URBAN,1926
Stawell and Ararat,RURAL,1926
Swan Hill,RURAL,1926
Toorak,URBAN,1926
Upper Goulburn,RURAL,1926
Walhalla,RURAL,1926
Wangaratta,RURAL,1926
Waranga,RURAL,1926
Warrenheip,RURAL,1926
Warrnambool,RURAL,1926
Williamstown,URBAN,1926
