DISTRICT,EN,YEAR
ALBERT PARK,2955,1892
ANGLESEY,3140,1892
ARARAT,1853,1892
BALLARAT EAST,3696,1892
BALLARAT WEST,6105,1892
BARWON,2233,1892
BENALLA AND YARRAWONGA,2629,1892
BENAMBRA,2024,1892
BOGONG,1827,1892
BORUNG,2776,1892
BOURKE EAST,3316,1892
BOURKE WEST,2244,1892
BRIGHTON,4120,1892
CARLTON,3842,1892
CARLTON SOUTH,2906,1892
CASTLEMAINE,3307,1892
CLUNES AND ALLANDALE,2285,1892
COLLINGWOOD,7018,1892
CRESWICK,1878,1892
DANDENONG AND BERWICK,4357,1892
DAYLESFORD,1892,1892
DELATITE,2711,1892
SWAN HILL,3748,1892
DUNDAS,2332,1892
DUNOLLY,2404,1892
EAGLEHAWK,2127,1892
EAST BOURKE BOROUGHS,11083,1892
EASTERN SUBURBS,5588,1892
EMERALD HILL,3771,1892
ESSENDON AND FLEMINGTON,6266,1892
EVELYN,3128,1892
FITZROY,6503,1892
FOOTSCRAY,5161,1892
GEELONG,5565,1892
GIPPSLAND CENTRAL,2637,1892
GIPPSLAND EAST,2895,1892
GIPPSLAND NORTH,2351,1892
GIPPSLAND SOUTH,3394,1892
GIPPSLAND WEST,4225,1892
GRANT,2259,1892
GRENVILLE,3521,1892
GUNBOWER,2553,1892
HAWTHORN,4593,1892
HORSHAM,2336,1892
WEST RICHMOND,2905,1892
KARA KARA,2212,1892
"KILMORE, DALHOUSIE AND LANCEFIELD",2384,1892
KORONG,2240,1892
KYNETON,2207,1892
LOWAN,2831,1892
MALDON,1659,1892
MANDURANG,2193,1892
MARYBOROUGH,2541,1892
MELBOURNE,4192,1892
MELBOURNE EAST,5965,1892
MELBOURNE NORTH,3914,1892
MELBOURNE SOUTH,3627,1892
MELBOURNE WEST,3150,1892
MORNINGTON,3927,1892
NORMANBY,2389,1892
NUMURKAH AND NATHALIA,2284,1892
OVENS,1820,1892
POLWARTH,3144,1892
PORT FAIRY,1866,1892
PORT MELBOURNE,3261,1892
PORTLAND,1914,1892
PRAHRAN,3614,1892
RICHMOND,7846,1892
RIPON AND HAMPDEN,2385,1892
RODNEY,4864,1892
ST KILDA,4065,1892
SANDHURST,5214,1892
SANDHURST SOUTH,2057,1892
SHEPPARTON AND EUROA,2254,1892
SOUTH YARRA,3329,1892
STAWELL,2294,1892
TALBOT AND AVOCA,2042,1892
TOORAK,4424,1892
VILLIERS AND HEYTESBURY,2193,1892
WANGARATTA AND RUTHERGLE,2560,1892
WARRENHEIP,1855,1892
WARRNAMBOOL,1957,1892
WILLIAMSTOWN,4196,1892
WINDERMERE,1580,1892
ALBERT PARK,2312,1894
ANGLESEY,3269,1894
ARARAT,1527,1894
BALLARAT EAST,3106,1894
BALLARAT WEST,5433,1894
BARWON,1954,1894
BENALLA AND YARRAWONGA,2998,1894
BENAMBRA,1858,1894
BOGONG,1547,1894
BORUNG,2532,1894
BOURKE EAST,2535,1894
BOURKE WEST,1974,1894
BRIGHTON,3525,1894
CARLTON,2871,1894
CARLTON SOUTH,1989,1894
CASTLEMAINE,2869,1894
CLUNES AND ALLANDALE,1809,1894
COLLINGWOOD,4868,1894
CRESWICK,1669,1894
DANDENONG AND BERWICK,3977,1894
DAYLESFORD,1774,1894
DELATITE,2465,1894
SWAN HILL,4575,1894
DUNDAS,2245,1894
DUNOLLY,1917,1894
EAGLEHAWK,1970,1894
EAST BOURKE BOROUGHS,7644,1894
EASTERN SUBURBS,4944,1894
EMERALD HILL,2331,1894
ESSENDON AND FLEMINGTON,4630,1894
EVELYN,2710,1894
FITZROY,3955,1894
FOOTSCRAY,3980,1894
GEELONG,5026,1894
GIPPSLAND CENTRAL,2761,1894
GIPPSLAND EAST,2273,1894
GIPPSLAND NORTH,1856,1894
GIPPSLAND SOUTH,2994,1894
GIPPSLAND WEST,3994,1894
GRANT,2549,1894
GRENVILLE,3049,1894
GUNBOWER,2506,1894
HAWTHORN,3596,1894
HORSHAM,2012,1894
WEST RICHMOND,2177,1894
KARA KARA,2020,1894
"KILMORE, DALHOUSIE AND LANCEFIELD",1976,1894
KORONG,1945,1894
KYNETON,1759,1894
LOWAN,2628,1894
MALDON,1580,1894
MANDURANG,1875,1894
MARYBOROUGH,2091,1894
MELBOURNE,3096,1894
MELBOURNE EAST,4068,1894
MELBOURNE NORTH,2966,1894
MELBOURNE SOUTH,2405,1894
MELBOURNE WEST,2259,1894
MORNINGTON,3879,1894
NORMANBY,2064,1894
NUMURKAH AND NATHALIA,2118,1894
OVENS,1561,1894
POLWARTH,2492,1894
PORT FAIRY,1793,1894
PORT MELBOURNE,2477,1894
PORTLAND,1899,1894
PRAHRAN,2823,1894
RICHMOND,5883,1894
RIPON AND HAMPDEN,2203,1894
RODNEY,4779,1894
ST KILDA,3087,1894
SANDHURST,5150,1894
SANDHURST SOUTH,1963,1894
SHEPPARTON AND EUROA,2027,1894
SOUTH YARRA,2453,1894
STAWELL,2217,1894
TALBOT AND AVOCA,1862,1894
TOORAK,3932,1894
VILLIERS AND HEYTESBURY,2229,1894
WANGARATTA AND RUTHERGLE,2407,1894
WARRENHEIP,1676,1894
WARRNAMBOOL,1747,1894
WILLIAMSTOWN,3172,1894
WINDERMERE,1580,1894
ALBERT PARK,2784,1897
ANGLESEY,3531,1897
ARARAT,1770,1897
BALLARAT EAST,3333,1897
BALLARAT WEST,5660,1897
BARWON,2401,1897
BENALLA AND YARRAWONGA,2729,1897
BENAMBRA,2060,1897
BOGONG,1933,1897
BORUNG,2497,1897
BOURKE EAST,2537,1897
BOURKE WEST,1902,1897
BRIGHTON,3441,1897
CARLTON,3626,1897
CARLTON SOUTH,2310,1897
CASTLEMAINE,3385,1897
CLUNES AND ALLANDALE,1743,1897
COLLINGWOOD,5059,1897
CRESWICK,1941,1897
DANDENONG AND BERWICK,3572,1897
DAYLESFORD,1814,1897
DELATITE,2528,1897
SWAN HILL,6000,1897
DUNDAS,2265,1897
DUNOLLY,2048,1897
EAGLEHAWK,2020,1897
EAST BOURKE BOROUGHS,8871,1897
EASTERN SUBURBS,4904,1897
EMERALD HILL,2521,1897
ESSENDON AND FLEMINGTON,5108,1897
EVELYN,3410,1897
FITZROY,6091,1897
FOOTSCRAY,3776,1897
GEELONG,5391,1897
GIPPSLAND CENTRAL,2907,1897
GIPPSLAND EAST,3028,1897
GIPPSLAND NORTH,1985,1897
GIPPSLAND SOUTH,2644,1897
GIPPSLAND WEST,4205,1897
GRANT,2347,1897
GRENVILLE,3727,1897
GUNBOWER,2736,1897
HAWTHORN,4119,1897
HORSHAM,1906,1897
WEST RICHMOND,2452,1897
KARA KARA,2309,1897
"KILMORE, DALHOUSIE AND LANCEFIELD",2127,1897
KORONG,2244,1897
KYNETON,2154,1897
LOWAN,2429,1897
MALDON,1781,1897
MANDURANG,2025,1897
MARYBOROUGH,2306,1897
MELBOURNE,3996,1897
MELBOURNE EAST,4322,1897
MELBOURNE NORTH,2938,1897
MELBOURNE SOUTH,2469,1897
MELBOURNE WEST,2324,1897
MORNINGTON,4395,1897
NORMANBY,1873,1897
NUMURKAH AND NATHALIA,2092,1897
OVENS,1954,1897
POLWARTH,3128,1897
PORT FAIRY,1936,1897
PORT MELBOURNE,2538,1897
PORTLAND,1743,1897
PRAHRAN,2851,1897
RICHMOND,5372,1897
RIPON AND HAMPDEN,2656,1897
RODNEY,4881,1897
ST KILDA,3383,1897
SANDHURST,5099,1897
SANDHURST SOUTH,2218,1897
SHEPPARTON AND EUROA,2162,1897
SOUTH YARRA,2491,1897
STAWELL,2216,1897
TALBOT AND AVOCA,1882,1897
TOORAK,4000,1897
VILLIERS AND HEYTESBURY,2384,1897
WANGARATTA AND RUTHERGLE,3559,1897
WARRENHEIP,1803,1897
WARRNAMBOOL,1912,1897
