DISTRICT,YEAR,EN,SEATS,PROP,CAT
WIMMERA,1877,4285,2,2142,C
NORTH GIPPSLAND,1877,3912,2,1956,C
BENAMBRA,1877,1136,1,1136,C
VILLIERS AND HEYTESBURY,1877,3838,2,1919,C
MOIRA,1877,4725,2,2362,C
DELATITE,1877,2212,1,2212,C
MANDURANG,1877,8155,3,2718,C
SOUTH GIPPSLAND,1877,1503,1,1503,C
AVOCA,1877,4193,2,2096,C
RODNEY,1877,5136,2,2568,C
NORMANBY,1877,1666,1,1666,C
MORNINGTON,1877,2275,1,2275,C
KILMORE AND ANGLESEY,1877,2105,1,2105,C
POLWARTH AND SOUTH GRENVILLE,1877,1580,1,1580,C
KARA KARA,1877,2575,1,2575,C
DUNDAS,1877,1562,1,1562,C
RIPON AND HAMPDEN,1877,2011,1,2011,C
OVENS,1877,3745,2,1872,C
PORTLAND,1877,1354,1,1354,C
GRANT,1877,3381,2,1690,C
EVELYN,1877,1434,1,1434,C
WEST BOURKE,1877,4200,2,2100,C
GRENVILLE,1877,3981,2,1990,C
DALHOUSIE,1877,1970,1,1970,C
CRESWICK,1877,6255,3,2085,C
TALBOT AND MARYBOROUGH,1877,4709,2,2354,C
ARARAT,1877,1716,1,1716,C
BARWON,1877,2021,1,2021,C
STAWELL,1877,2371,1,2371,C
EAST BOURKE,1877,1749,1,1749,C
CASTLEMAINE,1877,4239,2,2120,C
MALDON,1877,1754,1,1754,C
BELFAST,1877,1111,1,1111,C
SOUTH BOURKE,1877,1927,1,1927,C
BALLAARAT WEST,1877,4200,3,1400,M
BALLAARAT EAST,1877,4515,2,2258,M
FOOTSCRAY,1877,1412,1,1412,U
WARRNAMBOOL,1877,1468,1,1468,C
KYNETON BOROUGHS,1877,1463,1,1463,C
BOROONDARA,1877,1816,1,1816,C
BRIGHTON,1877,1327,1,1327,C
SANDHURST,1877,6932,3,2311,U
GEELONG,1877,4726,3,1575,M
EAST BOURKE BOROUGHS,1877,2037,1,2037,U
ST KILDA,1877,5892,2,2946,U
WILLIAMSTOWN,1877,1845,1,1845,U
SANDRIDGE,1877,1906,1,1906,U
EMERALD HILL,1877,4994,2,2497,U
RICHMOND,1877,5764,2,2882,U
NORTH MELBOURNE,1877,3912,2,1956,U
FITZROY,1877,4462,2,2231,U
WEST MELBOURNE,1877,4961,2,2480,U
COLLINGWOOD,1877,5003,2,2502,U
CARLTON,1877,2616,1,2616,U
EAST MELBOURNE,1877,4402,2,2201,U
