DISTRICT,EN,YEAR,SEATS,PROP,CAT
ALBERT PARK,2100,1889,1,2100,U
ANGLESEY,3128,1889,1,3128,C
ARARAT,1831,1889,1,1831,C
BALLARAT WEST,5684,1889,2,2842,M
BARWON,2223,1889,1,2223,C
BENALLA AND YARRAWONGA,2822,1889,1,2822,C
BENAMBRA,2207,1889,1,2207,C
BOGONG,1775,1889,1,1775,C
BORUNG,2249,1889,1,2249,C
BOURKE EAST,2185,1889,1,2185,C
BOURKE WEST,2244,1889,1,2244,C
BRIGHTON,2911,1889,1,2911,C
CARLTON,3914,1889,1,3914,U
CARLTON SOUTH,3729,1889,1,3729,U
CASTLEMAINE,3468,1889,2,1734,C
CLUNES AND ALLANDALE,2408,1889,1,2408,C
COLLINGWOOD,5966,1889,2,2983,U
CRESWICK,2100,1889,1,2100,C
DALHOUSIE,2576,1889,1,2576,C
DANDENONG AND BERWICK,3380,1889,1,3380,C
DAYLESFORD,2002,1889,1,2002,C
DELATITE,2481,1889,1,2481,C
DONALD AND SWAN HILL,2154,1889,1,2154,C
DUNDAS,2147,1889,1,2147,C
DUNOLLY,2195,1889,1,2195,C
EAGLEHAWK,2262,1889,1,2262,C
EAST BOURKE BOROUGHS,7164,1889,2,3582,U
EASTERN SUBURBS,3370,1889,1,3370,C
EMERALD HILL,3756,1889,1,3756,C
ESSENDON AND FLEMINGTON,3756,1889,1,3756,U
EVELYN,3292,1889,1,3292,C
FITZROY,5594,1889,2,2797,U
FOOTSCRAY,3156,1889,1,3156,U
GEELONG,5021,1889,2,2510,M
GIPPSLAND CENTRAL,2559,1889,1,2559,C
GIPPSLAND EAST,2308,1889,1,2308,C
GIPPSLAND NORTH,2142,1889,1,2142,C
GIPPSLAND SOUTH,2688,1889,1,2688,C
GIPPSLAND WEST,3629,1889,1,3629,C
GRANT,2013,1889,1,2013,C
GRENVILLE,3896,1889,2,1948,C
GUNBOWER,2473,1889,1,2473,C
HAWTHORN,3128,1889,1,3128,U
HORSHAM,2336,1889,1,2336,C
JOLIMONT AND WEST RICHMOND,2293,1889,1,2293,U
KARA KARA,2200,1889,1,2200,C
KORONG,2195,1889,1,2195,C
KYNETON BOROUGHS,2195,1889,1,2195,C
LOWAN,2190,1889,1,2190,C
MALDON,1659,1889,1,1659,C
MANDURANG,2141,1889,1,2141,C
MARYBOROUGH,3500,1889,1,3500,C
MELBOURNE,5895,1889,1,5895,U
MELBOURNE EAST,5089,1889,2,2544,U
MELBOURNE NORTH,3435,1889,1,3435,U
MELBOURNE WEST,2841,1889,1,2841,U
MORNINGTON,3388,1889,1,3388,C
NORMANBY,2134,1889,1,2134,C
NUMURKAH AND NATHALIA,2492,1889,1,2492,C
OVENS,1600,1889,1,1600,C
POLWARTH,2611,1889,1,2611,C
PORT FAIRY,1866,1889,1,1866,C
PORT MELBOURNE,2794,1889,1,2794,U
PORTLAND,1914,1889,1,1914,C
PRAHRAN,3322,1889,1,3322,U
RICHMOND,7111,1889,2,3556,U
RIPON AND HAMPDEN,2273,1889,1,2273,C
RODNEY,5054,1889,2,2527,C
SANDHURST,5279,1889,2,2640,M
SANDHURST SOUTH,2059,1889,1,2059,C
SHEPPARTON AND EUROA,2277,1889,1,2277,C
SOUTH MELBOURNE,3263,1889,1,3263,U
SOUTH YARRA,2799,1889,1,2799,U
ST KILDA,3223,1889,1,3223,U
STAWELL,2480,1889,1,2480,C
TALBOT AND AVOCA,2010,1889,1,2010,C
TOORAK,4424,1889,1,4424,U
VILLIERS AND HEYTESBURY,2064,1889,1,2064,C
WANGARATTA AND RUTHERGLEN,2455,1889,1,2455,C
WARRENHEIP,1855,1889,1,1855,C
WARRNAMBOOL,1931,1889,1,1931,C
WILLIAMSTOWN,3411,1889,1,3411,U
WINDERMERE,1508,1889,1,1508,C
