DISTRICT,YEAR,EN,SEATS,PROP,CAT
MELBOURNE,1856,21676,5,4335,U
ST KILDA,1856,6978,2,3489,U
COLLINGWOOD,1856,10788,2,5394,U
SOUTH MELBOURNE,1856,4655,1,4655,U
RICHMOND,1856,4989,2,2495,U
WILLIAMSTOWN,1856,1929,1,1929,U
BRIGHTON,1856,1926,1,1926,C
GEELONG,1856,11716,4,2929,U
PORTLAND,1856,1285,2,643,C
BELFAST,1856,920,1,920,C
WARRNAMBOOL,1856,807,1,807,C
COLAC,1856,434,1,434,C
KILMORE,1856,1327,1,1327,C
KYNETON BOROUGHS,1856,2474,1,2474,C
MURRAY BOROUGHS,1856,1193,1,1193,C
ALBERTON,1856,869,1,869,C
CASTLEMAINE BOROUGHS,1856,2631,2,1316,C
SANDHURST BOROUGHS,1856,8303,1,8303,C
NORTH GRANT,1856,17533,1,17533,N
NORTH GRENVILLE,1856,12541,1,12541,N
OVENS,1856,14966,1,14966,N
RODNEY,1856,2844,1,2844,C
LODDON,1856,31782,2,15891,N
TALBOT,1856,33452,2,16726,N
EAST BOURKE,1856,8442,2,4221,C
WEST BOURKE,1856,7494,2,3747,C
SOUTH BOURKE,1856,4401,2,2201,C
SOUTH GRANT,1856,8941,3,2980,C
EVELYN AND MORNINGTON,1856,3232,1,3232,C
ANGLESEY AND DALHOUSIE,1856,1853,1,1853,C
DUNDAS AND FOLLETT,1856,1969,1,1969,C
NORMANBY,1856,1862,1,1862,C
VILLIERS AND HEYTESBURY,1856,4936,2,2468,C
"POLWORTH, RIPON, HAMPDEN, AND SOUTH GRENVILLE",1856,7303,2,3652,C
MURRAY,1856,3283,2,1642,C
GIPPS LAND,1856,1541,1,1541,C
WIMMERA,1856,4066,2,2033,C
