DISTRICT,EN,YEAR,SEATS,PROP,Category
ALBERT PARK,2955,1892,1,2955,URBAN
ANGLESEY,3140,1892,1,3140,RURAL
ARARAT,1853,1892,1,1853,RURAL
BALLARAT EAST,3696,1892,1,3696,METRO
BALLARAT WEST,6105,1892,2,3052.5,METRO
BARWON,2233,1892,1,2233,RURAL
BENALLA AND YARRAWONGA,2629,1892,1,2629,RURAL
BENAMBRA,2024,1892,1,2024,RURAL
BOGONG,1827,1892,1,1827,RURAL
BORUNG,2776,1892,1,2776,RURAL
BOURKE EAST,3316,1892,1,3316,RURAL
BOURKE WEST,2244,1892,1,2244,RURAL
BRIGHTON,4120,1892,1,4120,URBAN
CARLTON,3842,1892,1,3842,URBAN
CARLTON SOUTH,2906,1892,1,2906,URBAN
CASTLEMAINE,3307,1892,2,1653.5,RURAL
CLUNES AND ALLANDALE,2285,1892,1,2285,RURAL
COLLINGWOOD,7018,1892,2,3509,URBAN
CRESWICK,1878,1892,1,1878,RURAL
DANDENONG AND BERWICK,4357,1892,1,4357,RURAL
DAYLESFORD,1892,1892,1,1892,RURAL
DELATITE,2711,1892,1,2711,RURAL
DONALD AND SWAN HILL,3748,1892,1,3748,RURAL
DUNDAS,2332,1892,1,2332,RURAL
DUNOLLY,2404,1892,1,2404,RURAL
EAGLEHAWK,2127,1892,1,2127,RURAL
EAST BOURKE BOROUGHS,11083,1892,2,5541.5,URBAN
EASTERN SUBURBS,5588,1892,1,5588,URBAN
EMERALD HILL,3771,1892,1,3771,RURAL
ESSENDON AND FLEMINGTON,6266,1892,1,6266,URBAN
EVELYN,3128,1892,1,3128,RURAL
FITZROY,6503,1892,2,3251.5,URBAN
FOOTSCRAY,5161,1892,1,5161,URBAN
GEELONG,5565,1892,2,2782.5,METRO
GIPPSLAND CENTRAL,2637,1892,1,2637,RURAL
GIPPSLAND EAST,2895,1892,1,2895,RURAL
GIPPSLAND NORTH,2351,1892,1,2351,RURAL
GIPPSLAND SOUTH,3394,1892,1,3394,RURAL
GIPPSLAND WEST,4225,1892,1,4225,RURAL
GRANT,2259,1892,1,2259,RURAL
GRENVILLE,3521,1892,2,1760.5,RURAL
GUNBOWER,2553,1892,1,2553,RURAL
HAWTHORN,4593,1892,1,4593,URBAN
HORSHAM,2336,1892,1,2336,RURAL
